monstres_tues,duree_quete_jours,prime_pieces_or
31.0,2.3045724485445698,1881
24.0,4.534362755803658,1240
35.0,5.066102883812074,2578
44.0,4.793299402112441,3931
45.0,6.059331229666049,4040
34.0,4.949266007343367,2141
3.0,4.110373998174359,496
37.0,2.697881964069622,2804
43.0,4.7114837245953805,3360
40.0,2.4078215190608785,2612
26.0,4.8116917061203255,1713
23.0,5.650106544930141,674
44.0,3.6787812419599577,3930
39.0,6.493802164190759,2687
15.0,7.059035812263786,497
49.0,3.996806219953666,4898
4.0,4.236526436052225,274
29.0,6.467455482033309,1658
22.0,2.981858195810485,943
25.0,2.784485938619843,931
13.0,4.2952210921938185,264
18.0,4.964253585523277,662
33.0,3.901475399034109,2192
16.0,6.144324495980052,465
45.0,2.27766083981467,3729
42.0,5.899902211221517,3142
44.0,3.92155232878132,4326
2.0,8.177881939298793,189
35.0,6.824304327189615,3161
42.0,5.252481765187573,3651
34.0,4.917541453204295,2514
30.0,3.9696003189260702,1530
13.0,1.0,779
13.0,5.221444454272526,-213
18.0,7.272481238922783,845
32.0,3.1128299026214163,2083
32.0,3.3530412753403693,2487
35.0,5.207779804640667,2413
39.0,2.4680899156323437,3055
46.0,3.5382174048673467,3654
29.0,4.117577754925461,1116
49.0,5.248233959701577,4915
29.0,9.12338285146221,2028
44.0,4.904302041707825,3961
16.0,5.763588494692729,474
44.0,4.849131197911999,3967
47.0,5.599208401147484,4480
10.0,5.302132572137306,401
30.0,6.9339275356060925,1515
25.0,8.372903237972965,1331
39.0,4.701733991031305,2741
20.0,4.270898088939678,1133
5.0,9.744442146972784,-273
1.0,8.40686190305992,-61
30.0,5.702893904110673,1982
49.0,7.519050764665136,4410
3.0,8.26149305101319,-222
45.0,4.566442617241671,4723
14.0,6.958140895365666,678
30.0,5.361720285208455,1903
4.0,5.42014377527796,228
18.0,6.631933345052263,140
37.0,8.535957445156061,2931
25.0,6.130205691845999,1839
48.0,6.895784267567427,4463
1.0,6.881963703507664,553
46.0,7.689524953861396,4097
15.0,6.235260015482224,490
9.0,5.547485906218327,-237
15.0,4.393910990399878,583
49.0,6.396753254710138,4850
24.0,4.313488315514997,1087
4.0,5.275687587428731,-224
12.0,3.025004474574396,357
37.0,9.323167546108955,2554
37.0,2.8971379199982428,3071
43.0,6.212568342702315,3779
6.0,3.531847792153785,-72
39.0,2.3412205018927383,3343
46.0,6.053466772555563,4106
24.0,8.105267213671311,1448
11.0,3.561608280423856,279
13.0,6.282331417027463,-231
34.0,8.710316141242417,2493
25.0,9.694340442208013,1239
7.0,4.556397793795781,267
4.0,5.031333922638394,99
8.0,5.363455999829005,197
20.0,6.583745936650992,816
29.0,4.783868496623541,2549
45.0,6.439207960444755,4211
46.0,5.020915176931248,3704
10.0,3.629690716419123,-251
43.0,6.033205482941515,3831
34.0,3.9894745101932743,2142
26.0,3.1539230931820774,1676
41.0,5.1468704915775065,3461
49.0,3.5073851126807005,4917
3.0,4.421218650995783,-256
6.0,7.082634549414809,248
5.0,3.945783767532763,104
5.0,2.7252119575983,-230
47.0,6.304974411898238,4141
23.0,7.328595469002718,1559
49.0,4.256928117651488,4975
9.0,7.82367010693317,51
35.0,6.274474814152301,2289
20.0,8.016450120561045,807
49.0,3.223784540236961,4890
42.0,1.5207868140502605,3124
35.0,6.17555820584756,2416
18.0,5.106447574732863,36
17.0,5.586790248876105,573
24.0,5.967797250261691,1592
3.0,8.213470812083159,-368
32.0,3.804922474288035,2008
35.0,8.493794342373505,2389
38.0,4.088745143632536,2553
13.0,6.076279149051603,205
47.0,5.879203120136967,4025
25.0,3.5143781745654468,961
9.0,5.996402374451127,214
4.0,3.092746476552628,150
14.0,1.1680626867175437,294
37.0,7.013682622630549,3144
34.0,7.125521673661045,2535
11.0,2.1829460077907425,833
41.0,4.531512839476358,3329
3.0,2.829516133332956,-295
28.0,6.305173145317501,1514
29.0,,0
9.0,3.2705953721316106,-137
3.0,1.0,273
25.0,6.01169223504626,944
34.0,6.220741710346887,2205
12.0,3.2804799910171214,140
42.0,4.011088811007818,3255
9.0,3.461574656608736,398
15.0,5.033357125023814,884
40.0,6.673370447352086,3474
25.0,5.832690778475931,1261
5.0,,0
11.0,2.449981055121492,282
34.0,3.880778615795246,2502
24.0,7.364570943499865,1128
15.0,2.605598128279654,850
38.0,3.333440489154908,2831
8.0,6.269547437654747,-49
5.0,1.3596526356035517,347
48.0,3.009465041679337,4870
26.0,6.58291041738039,1805
18.0,1.9484947647683144,806
6.0,3.474059899495435,-168
37.0,6.211369594823582,1964
48.0,2.778089931758341,4093
13.0,6.711236568317965,167
28.0,5.551880842578679,1969
5.0,4.478862633649068,419
13.0,1.2031275603454905,217
17.0,5.046361312249379,825
40.0,1.86375017417566,2788
45.0,1.5576518239703123,4423
32.0,5.791665534228217,1967
29.0,5.552740667727004,1879
3.0,1.0,180
40.0,4.447782367551018,3342
34.0,5.944351861728449,1955
40.0,5.529513534356119,3027
27.0,5.398040044561972,1777
13.0,4.482468076578593,493
45.0,7.149107559266985,3729
33.0,5.334240180432334,2294
6.0,7.2632153677125615,-238
24.0,5.088043710406151,775
19.0,2.7269437440121918,537
16.0,5.348744114216447,486
40.0,2.3115730827339878,2840
28.0,5.854573041295854,1838
33.0,8.801688686495933,1970
48.0,5.125214619996215,4601
41.0,4.8046490914028,3499
13.0,6.80593070712114,895
43.0,5.514411431829606,3879
45.0,9.76313930357986,3964
25.0,4.917744103130962,956
42.0,5.6373239267556885,3155
36.0,7.07075270510187,2301
27.0,2.0772353653180406,1414
38.0,6.42899247996704,3253
7.0,4.123564938311056,61
5.0,4.393670196175734,-116
43.0,6.535052462815664,3735
45.0,3.610890371689552,4546
31.0,4.524062778293224,1698
23.0,4.699325912214823,1198
42.0,4.830137142031904,3422
10.0,3.61446840873963,262
32.0,6.114872566908615,2243
43.0,2.623471556917071,4112
30.0,1.238760439527395,1784
39.0,4.408723148522941,3384
31.0,6.069336962737409,2047
18.0,6.125531697104466,262
36.0,5.620542537267029,2536
2.0,4.323244987377139,707
14.0,5.801907463643067,361
13.0,4.723298886909438,246
29.0,4.863199660738846,1589
12.0,1.0,149
39.0,4.107836536734549,2631
2.0,1.0626467203974723,-681
32.0,9.234718600615412,1821
13.0,6.72215446709741,236
46.0,7.391024632442457,4401
27.0,3.977441489685471,1349
49.0,4.842028772333605,4842
41.0,2.4029238622703244,3009
17.0,2.6927637755459863,65
40.0,4.470879938151477,3307
31.0,3.890104862674689,2119
34.0,5.9011551594882805,2610
24.0,5.791783832493568,1516
45.0,4.206068516794363,4448
35.0,6.659518231741384,2659
48.0,2.689682619443851,4438
6.0,2.489265986826605,158
19.0,6.012312082082538,628
30.0,6.08460414358963,1734
7.0,6.694442656178342,219
10.0,2.119504221221252,581
41.0,3.336347952670118,3592
32.0,5.602069988342974,2048
34.0,5.649821294180053,2344
28.0,8.788150434171612,1680
15.0,2.954890656547182,805
30.0,9.273487872250278,2362
37.0,6.03492320644523,2780
29.0,7.330500088001118,1625
22.0,6.216169623588341,1018
4.0,3.5223017088026958,343
20.0,3.8867570745880102,958
32.0,5.00616469113584,1897
36.0,1.9522235222011115,2597
4.0,1.7387490695255226,38
27.0,3.764017069635049,1266
17.0,6.400451301801885,384
12.0,3.683452177569712,-73
22.0,4.859760719806927,926
17.0,4.702871293966394,920
10.0,7.017557656892056,509
1.0,5.849401521819161,-3
22.0,6.70896116016913,1506
26.0,7.333269916914222,1339
18.0,3.023893757146011,547
14.0,1.0,-201
47.0,4.181964200699684,4480
29.0,7.265914537391563,1417
12.0,6.387022281307476,727
36.0,4.244432483484347,2221
35.0,8.837110287974397,2841
12.0,6.55292186690811,353
7.0,3.7958112113315616,-245
29.0,7.3305354470362385,1187
11.0,1.8359747148898395,354
33.0,5.661865192820391,1905
6.0,3.940447355802651,-517
47.0,4.864500182407872,5014
15.0,6.210166571731292,714
32.0,6.850450594227794,1708
11.0,5.223994404234973,-301
23.0,4.558856238583112,1415
26.0,1.5608329815682782,946
34.0,1.8780242248206256,2343
46.0,1.0,4364
34.0,5.332587874646609,2160
29.0,6.84653452063678,1392
4.0,1.0,-538
17.0,7.105839893523163,719
35.0,7.7804784027382,3168
13.0,5.363445477886579,-4
41.0,8.080934308829903,3067
39.0,4.913317879417147,3277
15.0,2.4870342213213537,-280
29.0,4.339369193348071,1447
29.0,8.209419638162183,1749
11.0,3.773715827593681,-4
32.0,5.839221170860859,2206
2.0,6.086782854821349,135
47.0,7.351002058540303,4456
14.0,1.270845768355192,165
20.0,7.770069138685518,681
,3.1097257156504217,0
11.0,8.031644412083661,309
27.0,4.272555819088506,1888
3.0,4.2811858217838985,239
17.0,6.540741172634484,468
44.0,7.607581504249026,4045
28.0,4.056138001138194,1760
29.0,4.435859989276063,1487
21.0,3.784240485840531,1058
47.0,3.849697418503776,4349
16.0,5.993161693003237,603
37.0,4.818046320199249,3043
20.0,7.516325986483782,1112
6.0,3.612883670369079,-187
19.0,6.506113138822243,391
5.0,6.423086901954915,587
3.0,4.4370987124598,555
1.0,4.490238816848006,224
38.0,5.974795043199907,2802
15.0,3.615566058136317,364
34.0,4.272594096455388,2020
35.0,2.390346133495564,2516
49.0,3.181798004389784,4767
25.0,2.9307910499241774,1223
24.0,3.1252510654583827,808
12.0,1.4865628641702315,575
18.0,1.6972902463691608,783
15.0,6.737308351170389,590
44.0,4.71728118156017,3339
16.0,7.491618712349696,61
27.0,7.093104023741096,1132
8.0,4.074752268889639,362
46.0,3.147343190641504,4087
25.0,5.303562406163886,942
17.0,4.112031525442935,776
29.0,6.272744974922199,1588
8.0,1.023076403713837,240
,5.673583835772185,0
27.0,8.17991135618625,1454
46.0,4.205065361151221,4635
7.0,6.227100121864247,473
3.0,2.545229921892449,-219
29.0,3.7988755835904713,1601
44.0,3.2442507926974216,4117
24.0,8.065679267909942,1183
3.0,8.92367198375536,128
20.0,4.017763737545533,1217
46.0,7.602661398275082,4301
15.0,6.167494228558841,275
25.0,4.231480367551593,1629
30.0,8.181462152699124,1557
14.0,3.84024341188437,387
7.0,3.7088189232645448,-74
17.0,2.950300613362808,222
44.0,6.775167706065856,3845
20.0,3.096396711789475,820
36.0,4.710908966642832,2519
9.0,4.30633286268194,464
38.0,3.95211339927873,2662
48.0,4.5453788263307855,4719
22.0,4.162775172749825,606
2.0,8.170264102982731,732
24.0,5.8832361478353175,958
8.0,5.178575244709767,-355
11.0,4.170638074073359,174
13.0,2.490850616077299,407
17.0,3.7441935060778473,845
8.0,4.953951415866893,452
21.0,4.87615223468416,1071
18.0,5.303160534305635,903
30.0,7.9250670722566365,2135
18.0,4.10329421063982,724
46.0,7.820174942113383,4007
47.0,4.5937757997318185,4447
31.0,5.398798640251576,1710
38.0,4.800822783996884,3205
32.0,7.656007358340197,2412
11.0,3.3193007803844665,622
45.0,6.5928098666462045,3708
25.0,8.487140190297094,1573
33.0,4.792637209354538,2008
38.0,1.0,2999
41.0,2.7554934220616087,3612
8.0,4.137041776310912,-301
11.0,5.793978348837489,504
22.0,7.633128458665054,508
24.0,4.796632665627647,1095
41.0,4.118844004454124,3657
17.0,6.331890124230582,979
12.0,4.671880394551376,533
46.0,5.0523046122585535,4065
32.0,4.032296742229025,1870
15.0,8.273250609152438,411
16.0,5.378351814731912,531
22.0,7.356521807770274,1234
28.0,5.747640433478704,1552
20.0,7.240664654561644,665
33.0,6.701789627162132,2074
10.0,6.687331071062732,544
40.0,5.929993721203502,3220
32.0,1.950116296700892,2506
33.0,1.8853592621044808,2464
2.0,2.94927375238305,-147
33.0,7.353142500659213,2047
33.0,6.300950917913527,2149
41.0,4.338503899991179,3323
13.0,7.917372603207829,689
30.0,7.017719182356967,1641
33.0,6.055884665150394,2215
13.0,6.435471491270274,442
26.0,6.190221408291042,1567
22.0,2.541743473193642,1111
39.0,5.099701736182332,3163
2.0,6.09092776316599,-132
38.0,4.937618553905279,2777
39.0,3.574557950769041,3118
26.0,1.5648721406842876,1296
46.0,3.3739796417891776,3954
15.0,6.851139915140927,322
34.0,6.122160712343844,2366
42.0,1.8322535256534795,3885
44.0,6.510130091507972,3593
49.0,2.3819676262544465,4473
40.0,4.620150227162701,3430
11.0,6.628490094595838,123
3.0,4.3511583718981885,-234
6.0,2.2184151731427946,68
9.0,1.0,-107
6.0,3.108510382527783,735
9.0,4.133071300159677,-68
39.0,5.795299567325547,3102
31.0,3.799371570923491,2079
32.0,3.969436540512377,2334
41.0,3.965986244789139,3040
12.0,3.5768338808554168,426
8.0,8.703495218615393,-360
8.0,5.50517029343855,223
28.0,3.104097218484288,1552
20.0,1.0,1026
47.0,5.2508906520613285,4499
7.0,7.908932205274032,69
11.0,6.023087212645749,235
20.0,10.11030797187282,368
16.0,3.846156582657838,270
4.0,6.056165101746334,491
6.0,1.999062553965289,134
22.0,1.47485925397267,1173
26.0,4.636585069211593,1169
3.0,7.329911284547762,283
41.0,8.365814247291542,3282
42.0,5.111702821944575,3100
14.0,3.1910541607518765,369
11.0,1.0,631
18.0,3.7940353786833114,30
12.0,4.89026766420122,511
23.0,3.825379641212805,1107
12.0,1.3878120438283252,1067
13.0,4.978081698906389,1029
25.0,4.277642223651089,723
45.0,5.88824296269391,4467
19.0,3.3366811845978392,607
46.0,4.215203787868015,4176
36.0,4.988483282050717,2422
45.0,5.691387685850476,3843
8.0,3.9906487218257656,525
29.0,3.4101152266113357,977
32.0,2.739219979011708,1850
44.0,5.098364849239411,4077
18.0,4.167496725856433,38
6.0,8.327558019630768,7
18.0,4.552319698830576,288
19.0,5.210049966291426,795
22.0,6.786148996798401,986
37.0,7.033625254097624,3021
32.0,4.042169309911474,1354
41.0,8.693591488286643,3495
3.0,9.192367259261395,-202
28.0,4.257694347048298,2005
10.0,4.938907622850082,70
35.0,5.561805126283279,2208
29.0,3.3854844719910124,1519
15.0,4.811804110162362,622
33.0,2.945917153575444,2388
7.0,4.794725336274521,93
12.0,4.611096056332,-3
49.0,5.674460959372083,4449
30.0,5.979341035074095,2006
21.0,4.828653535117037,1042
31.0,7.512988363644677,2049
24.0,3.0430165782634484,1628
20.0,4.160872368342552,564
37.0,3.531723307490309,3333
4.0,7.96541221051651,137
28.0,4.565172181513893,1419
44.0,4.5892463306370646,3858
20.0,7.562553329559874,446
24.0,1.903793439060371,847
49.0,2.907600439603388,4770
32.0,4.704493308778769,2283
41.0,3.835981156220318,3153
36.0,6.7281744224550994,3240
34.0,2.1256980549642885,2300
36.0,6.160496487858415,2414
2.0,2.992979087106113,-376
15.0,5.514787111187099,297
34.0,6.759879516310311,2748
36.0,8.740373344021538,3114
6.0,1.9945953333629407,257
39.0,5.204951405533337,3061
42.0,6.903675220708525,3101
12.0,5.139783451620176,-481
3.0,5.761623159952126,77
45.0,3.5990671094074065,3932
18.0,4.349396233832793,486
40.0,3.447163774470928,3321
21.0,6.2136448760760175,484
15.0,8.704157012406416,893
33.0,5.3144135094720895,2739
35.0,5.120961540478958,2660
26.0,1.0,1262
8.0,4.860840275162058,-51
36.0,6.1351000686151895,2503
48.0,1.694579926237243,4705
30.0,5.324140197869488,2105
23.0,4.969573022656388,1196
42.0,1.0,3907
44.0,5.835434456196222,4041
14.0,4.151738612601285,704
14.0,5.252755613884782,386
2.0,5.637537110889439,-334
37.0,3.4838474522979705,3126
5.0,5.6886934278672765,708
38.0,3.9843714328797857,2979
45.0,5.277661618179902,3889
41.0,3.704422247589218,3506
47.0,7.159817346531229,4316
14.0,6.378741808025765,405
39.0,4.314692088887088,3070
25.0,6.4077398800767735,1026
20.0,4.166323995687357,586
2.0,5.435785979525907,-11
39.0,3.3042971836903727,2984
6.0,6.928241461215854,246
17.0,4.758366691825611,662
25.0,3.651020377207564,1434
28.0,5.458279891461655,1528
2.0,1.5184353016714085,-233
35.0,2.980294901759952,2139
37.0,4.411091575100469,3037
5.0,5.252445070318791,-93
1.0,5.23307355279627,-185
40.0,3.917455970610974,3586
12.0,6.170384000200293,173
36.0,2.5378850803341413,1939
45.0,4.464105065113893,4118
23.0,7.126963001926557,897
47.0,6.152154223350225,4204
31.0,7.548198026715694,1884
11.0,9.505977147525018,-368
10.0,3.775005469563815,-356
3.0,5.681467482594879,-117
14.0,3.3776314879849285,562
16.0,2.8027554358261866,434
10.0,5.863392333875546,111
29.0,5.058957172670126,1684
10.0,4.200340220935615,469
12.0,6.1475818398632,303
30.0,4.274621234850089,1787
41.0,1.9901850900120996,3196
1.0,6.355285455364376,-112
5.0,3.629337659103374,106
20.0,6.501396231095945,1198
8.0,5.721420628633513,202
43.0,1.0,3454
12.0,4.41180174202139,200
1.0,3.112423982804903,336
20.0,6.855314596390201,827
28.0,3.8633821834290103,1155
43.0,6.699744643827868,3831
37.0,5.129892096832375,2547
47.0,3.847423856752981,4075
37.0,6.002462269434287,2766
12.0,6.768268501804316,39
37.0,2.6363552105381483,2983
49.0,1.939871037107253,4830
49.0,4.8436177390864845,5208
44.0,4.192428148151802,3978
28.0,5.962387949765414,1422
47.0,6.582656647277817,4268
15.0,1.675262028859958,342
6.0,4.249955737055124,222
44.0,1.8820152052837569,3440
20.0,2.2847336652131407,883
14.0,1.6394215190127577,117
2.0,4.238340916078302,682
9.0,1.8362551816867447,329
37.0,3.667091014793565,2935
20.0,3.2655403091689768,824
26.0,4.3142958871494175,876
29.0,4.997353895557363,1690
1.0,4.842302822498664,122
35.0,2.547609026152688,2280
6.0,4.922376736064447,51
37.0,4.150666062375935,2929
5.0,5.916811278299858,86
33.0,3.665610927335711,2261
49.0,6.16404163224713,4963
14.0,3.0461725215882938,764
12.0,3.142767905430985,40
42.0,4.780768009954087,4112
20.0,1.5509966478686297,1382
24.0,3.2382524517472517,988
43.0,7.2907354968288605,3903
34.0,6.332361366362605,2862
25.0,4.228936600078963,1684
29.0,9.701536456615916,1172
39.0,4.665680197005635,2998
31.0,5.304182733988747,1774
47.0,7.896627389926102,4679
43.0,5.649566343541268,3985
23.0,4.370119490572167,706
44.0,6.390660030166718,3663
38.0,6.2201878227551255,2419
20.0,3.543092993720572,775
23.0,4.56892474166401,974
45.0,5.277222110287664,4192
16.0,5.291042622445346,1056
42.0,3.2732856468553138,3610
8.0,5.595351620863984,41
21.0,4.2748235424044445,1125
1.0,5.947755285610668,-100
8.0,6.773532542254113,77
29.0,3.367555079752501,1736
32.0,4.266960094290607,1693
38.0,5.371986182844735,2798
5.0,6.4637723603944375,-186
47.0,3.857123447578783,4662
22.0,5.06977347558515,662
47.0,8.227112906788221,4140
34.0,6.644764968403845,2102
1.0,4.504490006331371,-231
26.0,8.736494095830093,1858
43.0,5.939254054914928,4026
10.0,8.485895217859158,351
30.0,7.244416262531006,1682
18.0,10.714928126332886,634
17.0,7.953404732345015,1056
26.0,4.095536843445185,1261
8.0,6.61407615580602,-191
47.0,3.2014853489362896,4665
40.0,6.837010428057612,3133
49.0,8.405847558154958,4754
12.0,3.338991241704358,222
27.0,6.479415609232356,1415
8.0,6.284541133674054,280
25.0,6.344989533467359,1162
46.0,2.6354791726197537,4326
4.0,4.056194574966591,347
,,0
1.0,4.269683649786717,-267
19.0,3.0752209270392274,1030
31.0,6.928557784868188,2265
16.0,3.7131672985904594,892
14.0,4.936402776798456,409
48.0,9.478425546083605,4541
5.0,7.060618199214645,-410
41.0,5.091575949204706,3394
26.0,5.801798328106766,1890
28.0,5.578017204712313,1665
2.0,2.0901509110708627,-56
6.0,5.680373318912476,249
9.0,7.288420302730466,-190
33.0,4.8420986246981625,2099
41.0,6.49684663174158,3610
25.0,6.049884379676064,1421
48.0,6.306849829402394,4461
13.0,2.892738139007782,875
9.0,5.813175029057117,-273
13.0,8.441652446250181,436
31.0,4.952119076705148,2179
41.0,4.479257940403646,3735
11.0,6.652190264072693,282
4.0,6.858974821664977,265
34.0,7.438574998907356,2317
38.0,4.770840311124214,3391
46.0,6.071941744677604,4332
4.0,8.880150608134118,384
38.0,3.383027930135488,2543
19.0,2.231676874120648,689
6.0,6.57636425603588,237
34.0,5.859308020314523,2474
18.0,4.176283697703269,480
13.0,3.709899665752439,-218
41.0,4.846700433452566,2836
23.0,7.026375056626581,777
19.0,6.896823595850492,1562
45.0,5.449609361113672,3142
11.0,4.048403145952963,194
1.0,1.0,-86
24.0,5.901357819211829,1168
7.0,6.340156925227593,76
25.0,4.713257619143087,958
21.0,9.665303972164658,1193
15.0,3.520310399674245,-38
1.0,7.958114603772949,567
12.0,6.525165103396988,427
7.0,4.634190059551639,-173
15.0,1.798796485170291,244
21.0,7.783323650041105,1229
19.0,5.111862285740313,322
29.0,8.60834614657179,1701
25.0,5.135843452255941,1243
33.0,7.904198645469429,2165
49.0,2.1451949382966147,4967
32.0,2.310693631574949,2243
49.0,4.194779529943741,4928
35.0,1.0,2787
44.0,5.630758326544672,3952
38.0,3.479233173599832,2739
26.0,6.502144474711433,1016
11.0,1.1282139497943433,261
35.0,7.304549968839208,2571
8.0,5.171118661244882,-400
46.0,6.818022444581955,4368
14.0,4.655797420174076,133
10.0,1.6666319123680324,-69
2.0,7.642217795543283,57
46.0,6.49798798631063,3605
9.0,6.919691891697854,600
3.0,5.250991298239464,294
21.0,8.675661848672085,530
26.0,10.041245656783712,1300
8.0,7.752661599408363,178
48.0,2.170898109346353,4384
2.0,5.506948567033522,-138
6.0,3.663056518384524,37
28.0,2.302084308314456,1566
29.0,4.756201486732797,1645
26.0,7.304403617640601,1373
25.0,4.134344612390246,1364
12.0,3.845633373162624,189
5.0,4.391187919100394,182
34.0,9.17516452406202,2667
48.0,6.053360638562731,4747
37.0,3.584905439031031,3262
15.0,8.498510059391236,33
44.0,5.264671712435794,3700
36.0,3.323300990948728,2703
15.0,4.023426189093209,525
43.0,3.3657296563374333,3584
48.0,4.740109073633806,4794
23.0,4.874586104583127,1123
6.0,5.399227624906709,428
46.0,3.934039802054402,3916
44.0,6.235350293949704,3892
43.0,8.209030653974771,3569
45.0,3.827946755105848,4309
21.0,7.592772423895051,1050
,5.408093202195309,0
43.0,4.697520131258997,4001
16.0,6.483591760283655,509
47.0,6.002245939116686,4048
15.0,6.2938817411107015,377
25.0,3.622441996476684,1947
36.0,3.002493548554215,2537
11.0,1.0,314
15.0,5.822278599100807,539
4.0,3.1875965572297087,21
21.0,3.856068592524181,1344
13.0,4.804782218933011,560
,2.541412171521324,0
19.0,7.898474215094572,645
34.0,4.450051999967541,2523
14.0,6.098609134120874,303
